Department,MAE (DengRate_all) Val,RMSE (DengRate_all) Val,MAPE (DengRate_all) Val,R2 (DengRate_all) Val,MSE (DengRate_all) Val,MAE (DengRate_019) Val,RMSE (DengRate_019) Val,MAPE (DengRate_019) Val,R2 (DengRate_019) Val,MSE (DengRate_019) Val,MAE (DengRate_all) Train,RMSE (DengRate_all) Train,MAPE (DengRate_all) Train,R2 (DengRate_all) Train,MSE (DengRate_all) Train,MAE (DengRate_019) Train,RMSE (DengRate_019) Train,MAPE (DengRate_019) Train,R2 (DengRate_019) Train,MSE (DengRate_019) Train
Rondônia,0.0029016779538976324,0.0038204470592206534,111.61237620275199,0.14394774863572057,1.4595815732307738e-05,0.006012773096057806,0.0068734037615939365,393.10750340457037,-4.191692075130982,4.724367926989367e-05,0.007729056955081897,0.015995718281895267,139.71106391444036,0.03611701018561275,0.00025586300335375846,0.009738253352031037,0.01690985818985843,208.1532279758898,0.1269656058226568,0.00028594330400112227
Acre,0.00858705017775484,0.01149482470650926,115.2627535076009,0.657156210006903,0.0001321309950333757,0.009351113235022237,0.011402255632497015,196.50223969342673,0.4802438392723086,0.0001300114335088099,0.030453894970941097,0.04281725263059546,51.33845308915982,0.94881167003009,0.0018333171228322339,0.0323300046128427,0.04028558208859175,56.3267699583813,0.9338919072043157,0.0016229281242166648
Amazonas,0.03514454545887085,0.05028148283206784,179.4787956833109,0.8536505657368987,0.002528227515791533,0.027211847676517558,0.03641246100082334,175.61414483486664,0.8688758490562991,0.0013258673161364806,0.004611285924933917,0.006365190148961123,65.40079719915141,-0.6615102152198871,4.051564563243172e-05,0.0061925641728814715,0.008060817260085142,99.54323966403847,-1.2747760038935652,6.497677490048655e-05
Roraima,0.0011385414971795229,0.0015090775384226538,45.46397926996333,0.5151842812262957,2.2773150169717764e-06,0.005356720593720758,0.005538563581489825,225.59113677222427,-7.109184698057961,3.067568654620539e-05,0.005269313666372913,0.006874571561364018,75.67027879795828,-0.6764564669250592,4.725973415231491e-05,0.003415328863675999,0.004413968297689208,79.4925913250409,0.2936718038769903,1.9483116133005366e-05
Pará,0.008802769059677388,0.013738408641742474,52.85144929278843,0.558940308595674,0.00018874387200750427,0.014849107787962732,0.01688417981313056,170.39529557985003,-0.5486284177540561,0.0002850755279621255,0.013378218523138688,0.017170034769597123,65.89326962738838,-0.2584906040976205,0.0002948100939891741,0.01026316845936726,0.01519621539567526,67.6563877420708,0.14950789832509692,0.0002309249623517578
Amapá,0.007167411916474353,0.014300495349469245,148.48045211530933,0.31734561467702793,0.0002045041672401915,0.0093794570920583,0.01432511284857631,540.61831452616,0.3986093240272256,0.00020520885812444606,0.00895979617370568,0.013046308017078546,36.78797527476442,0.39931718681198336,0.00017020615287648795,0.007894519250485336,0.010992296282351125,33.22456482118054,0.5446794846297257,0.00012083057755899037
Tocantins,0.030223648536146133,0.049263759001182114,57.833973267552885,-0.27998216891880845,0.0024269179509265517,0.026516972109814876,0.04095156286124209,47.83120060744235,0.30666470591703243,0.001677030500778262,0.009460831268617848,0.018366824819454564,47.63036390777738,-0.0770385386640362,0.00033734025394853217,0.006330077272198572,0.011575430656359268,64.42851028997437,0.19948407883673924,0.00013399059488018196
Maranhão,0.01082086115667246,0.013620596535637462,407.07435315281595,-3.4780474272042676,0.00018552064998661921,0.01469921466681274,0.01735561178804603,545.628207875652,-5.884781686178981,0.0003012172605373624,0.013623361480823779,0.020257721453356796,43.232249909286566,0.7468608595508199,0.0004103752784817922,0.005575850275803168,0.00790747038671753,34.95538594558607,0.9240789675379958,6.252808791681467e-05
Piauí,0.016467795488108568,0.025768780469680844,41.00509612405363,0.82908544692694,0.000664030046894605,0.01336707910330668,0.02221798111008966,38.355278629148906,0.8544211207673185,0.000493638684608301,0.011161033807690615,0.015054834025876158,46.52386356908719,0.7152486507803159,0.00022664802754667854,0.008975539838162629,0.01464212663580107,28.651757789886645,0.7542691274005379,0.00021439187241883515
Ceará,0.024845237572622875,0.0322356031960249,42.15447295861971,0.7255834995907715,0.0010391341134115709,0.025244311348390613,0.032017490677973,39.541233855143425,0.7411267508260252,0.0010251197093140878,0.005327325358629291,0.009751756915408302,34.07979097593566,0.5595294799953301,9.509676293721363e-05,0.0044008648264688395,0.004733995200884351,125.31855873197284,0.7691918061275198,2.2410710561996067e-05
